audit,strategy,protected_attribute,metric,mean_value,n_models_significant,n_models
healthcare_readmission,in_processing,gender,equalized_odds_diff,0.0002635681444072003,0,3
healthcare_readmission,in_processing,gender,predictive_parity_diff,-0.06666666666666665,0,3
healthcare_readmission,in_processing,gender_x_age,intersectional_demographic_parity_diff,-0.0003667330642341752,0,3
healthcare_readmission,in_processing,gender_x_race,intersectional_demographic_parity_diff,-0.0002924842435907485,0,3
healthcare_readmission,in_processing,race,accuracy_equality_diff,0.012318606939840845,3,3
healthcare_readmission,in_processing,race,demographic_parity_diff,-0.0005394317120538079,0,3
healthcare_readmission,in_processing,race,disparate_impact_ratio,0.21260003570461417,0,3
healthcare_readmission,in_processing,race,equal_opportunity_diff,-0.0018864365214110543,0,3
healthcare_readmission,in_processing,race,equalized_odds_diff,-0.0018864365214110543,0,3
healthcare_readmission,in_processing,race,predictive_parity_diff,-0.3125,0,3
healthcare_readmission,in_processing,race_x_age,intersectional_demographic_parity_diff,-0.001206948575369628,0,3
healthcare_readmission,post_processing,age,accuracy_equality_diff,-0.02159560060662591,3,3
healthcare_readmission,post_processing,age,demographic_parity_diff,0.0,0,3
healthcare_readmission,post_processing,age,disparate_impact_ratio,1.0,0,3
healthcare_readmission,post_processing,age,equal_opportunity_diff,0.0,0,3
healthcare_readmission,post_processing,age,equalized_odds_diff,0.0,0,3
healthcare_readmission,post_processing,age,predictive_parity_diff,,0,3
healthcare_readmission,post_processing,gender,accuracy_equality_diff,-0.00931888833533201,3,3
healthcare_readmission,post_processing,gender,demographic_parity_diff,0.0,0,3
healthcare_readmission,post_processing,gender,disparate_impact_ratio,1.0,0,3
healthcare_readmission,post_processing,gender,equal_opportunity_diff,0.0,0,3
healthcare_readmission,post_processing,gender,equalized_odds_diff,0.0,0,3
healthcare_readmission,post_processing,gender,predictive_parity_diff,,0,3
healthcare_readmission,post_processing,gender_x_age,intersectional_demographic_parity_diff,0.0,0,3
healthcare_readmission,post_processing,gender_x_race,intersectional_demographic_parity_diff,0.0,0,3
healthcare_readmission,post_processing,race,accuracy_equality_diff,0.012213259526957843,3,3
healthcare_readmission,post_processing,race,demographic_parity_diff,0.0,0,3
healthcare_readmission,post_processing,race,disparate_impact_ratio,1.0,0,3
healthcare_readmission,post_processing,race,equal_opportunity_diff,0.0,0,3
healthcare_readmission,post_processing,race,equalized_odds_diff,0.0,0,3
healthcare_readmission,post_processing,race,predictive_parity_diff,,0,3
healthcare_readmission,post_processing,race_x_age,intersectional_demographic_parity_diff,0.0,0,3
healthcare_readmission,unawareness,age,accuracy_equality_diff,-0.021742276271366007,3,3
healthcare_readmission,unawareness,age,demographic_parity_diff,-0.003470452027483332,3,3
